id,date,value,factor,pct_change,method,return
1171,1968-07-01,751.77,0.9753648057251553,-2.463519427484473,Buy the Dip,55882.345903721965
1172,1968-08-01,733.25,1.0295806341629732,2.9580634162973185,No Compounding,20866.553017388338
1172,1968-08-01,733.25,1.0295806341629732,2.9580634162973185,Compounding,46074.17670531565
1172,1968-08-01,733.25,1.0295806341629732,2.9580634162973185,Buy the Dip,57183.70843523412
1173,1968-09-01,754.94,1.0188624261530717,1.8862426153071654,No Compounding,19273.18727316078
1173,1968-09-01,754.94,1.0188624261530717,1.8862426153071654,Compounding,42555.961943416005
1173,1968-09-01,754.94,1.0188624261530717,1.8862426153071654,Buy the Dip,54379.53753519516
1174,1968-10-01,769.18,1.0125458280246498,1.2545828024649763,No Compounding,15212.824046387064
1174,1968-10-01,769.18,1.0125458280246498,1.2545828024649763,Compounding,33590.51889001645
1174,1968-10-01,769.18,1.0125458280246498,1.2545828024649763,Buy the Dip,43732.80737000657
1175,1968-11-01,778.83,1.0076011453077052,0.760114530770517,No Compounding,13961.711798466933
1175,1968-11-01,778.83,1.0076011453077052,0.760114530770517,Compounding,30828.013422974458
1175,1968-11-01,778.83,1.0076011453077052,0.760114530770517,Buy the Dip,41452.53019259038
1176,1968-12-01,784.75,0.9550557502389296,-4.4944249761070365,No Compounding,13914.367633004142
1176,1968-12-01,784.75,0.9550557502389296,-4.4944249761070365,Compounding,30723.47562779187
1176,1968-12-01,784.75,0.9550557502389296,-4.4944249761070365,Buy the Dip,41625.982906799094
1177,1969-01-01,749.48,0.9895394139937023,-1.0460586006297734,No Compounding,14307.920157976196
1177,1969-01-01,749.48,0.9895394139937023,-1.0460586006297734,Compounding,31592.455212645942
1177,1969-01-01,749.48,0.9895394139937023,-1.0460586006297734,Buy the Dip,40879.56441356681
1178,1969-02-01,741.64,0.9701876921417399,-2.9812307858260056,No Compounding,13384.526185211154
1178,1969-02-01,741.64,0.9701876921417399,-2.9812307858260056,Compounding,29553.564695637837
1178,1969-02-01,741.64,0.9701876921417399,-2.9812307858260056,Buy the Dip,37841.282804240305
1179,1969-03-01,719.53,1.014523369421706,1.4523369421705956,No Compounding,12940.252664934054
1179,1969-03-01,719.53,1.014523369421706,1.4523369421705956,Compounding,28572.591141372202
1179,1969-03-01,719.53,1.014523369421706,1.4523369421705956,Buy the Dip,35494.524763209694
1180,1969-04-01,729.98,1.0297405408367353,2.9740540836735274,No Compounding,14252.856242636784
1180,1969-04-01,729.98,1.0297405408367353,2.9740540836735274,Compounding,31470.871903542593
1180,1969-04-01,729.98,1.0297405408367353,2.9740540836735274,Buy the Dip,39662.726910810205
1181,1969-05-01,751.69,0.9426226236879564,-5.737737631204364,No Compounding,14684.244834971862
1181,1969-05-01,751.69,0.9426226236879564,-5.737737631204364,Compounding,32423.395025849422
1181,1969-05-01,751.69,0.9426226236879564,-5.737737631204364,Buy the Dip,42078.484822767794
1182,1969-06-01,708.56,0.9501241955515413,-4.987580444845873,No Compounding,15851.162921982614
1182,1969-06-01,708.56,0.9501241955515413,-4.987580444845873,Compounding,34999.99644615873
1182,1969-06-01,708.56,0.9501241955515413,-4.987580444845873,Buy the Dip,42816.13537660051
